"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138"
"1",1,0.837641748583507,0.771414445879782,0.73095955590801,0.754056851660164,0.758446509411484,0.739532584341336,0.746971341642171,0.757099942138345,0.76003251613734,0.75579575935624,0.757698772636453,0.752932783766646,0.748171650670263,0.730621447397669,0.746069730586371,0.755436465404311,0.731661104020168,0.757783080569848,0.760133713405484,0.753144641625782,0.786668680301091,0.754140137501786,0.759099380366046,0.753761817748471,0.746027214768294,0.754004913223568,0.754867750159337,0.755068937550689,0.757860610731909,0.758877027124139,0.782436840726719,0.745973680840164,0.760111243543901,0.748373015873016,0.756624421677473,0.732126718937007,0.754937627868839,0.835500545816477,0.756000507308412,0.753793972437731,0.756776550944538,0.78091259334422,0.781555291793591,0.762398646770594,0.730297792718508,0.752529343561887,0.759786986770255,0.723283124637727,0.730776849027453,0.757501672347339,0.754958760011157,0.753112629293832,0.758903450763496,0.752145020855471,0.754806619264739,0.753870706493259,0.729021658902055,0.744995952316703,0.733709627341554,0.755394996498822,0.786598422313675,0.743336005015356,0.751417853253197,0.748983950400842,0.734073668941574,0.740611409161614,0.757087438963191,0.747805678673655,0.759980809978811,0.749757291290568,0.758039385762015,0.757315878741549,0.758852244314799,0.751019436731456,0.752443229104744,0.7677811205086,0.779635986269658,0.757880879243627,0.751046473760713,0.758371442384662,0.74506117767015,0.745152376566247,0.754016462341205,0.748660601065179,0.722681731143581,0.759367909883374,0.756319699645238,0.753118598404234,0.754028225358373,0.745997383133103,0.745211609565673,0.744885260195791,0.758500219850502,0.797709651051132,0.743065473356819,0.770147348692927,0.757161833429358,0.726163416676636,0.757143086455424,0.744486377171611,0.724739064616365,0.724111794601754,0.763340657930614,0.757291014681065,0.743892387590324,0.795501768521896,0.75918282791261,0.748782816229117,0.749827535622814,0.748474232360541,0.791889702495354,0.753065717214906,0.766078714655405,0.800367495950291,0.743598281247523,0.744259956409748,0.748820726670208,0.760169825430393,0.74446134829324,0.726606247865352,0.752598406469259,0.784432610886697,0.746805504849283,0.750038125968199,0.746510738639985,0.750881876251311,0.752931568974129,0.756600312844904,0.761217435831786,0.783310880418417,0.756144222525641,0.766947000952079,0.757268986456794,0.806932840616967,0.736030997143744,0.73759727819776,0.750288474546598
"2",0.837641748583507,1,0.772892956625547,0.730410624960426,0.753659583260486,0.746825308749623,0.740277103543774,0.75073346249654,0.756753977232274,0.768680215278336,0.758820154890525,0.758103317295518,0.754556817822221,0.752276073911047,0.733162715517241,0.751178387270254,0.757074144803049,0.729172436166256,0.76272916452371,0.757070967230653,0.754293534581642,0.782163058396071,0.755320666212383,0.754312332077391,0.755118384953296,0.751519564391541,0.755838034706849,0.757816227219236,0.755154352829141,0.753420094692013,0.758572874413267,0.781550283201965,0.751046559933531,0.757133567021428,0.751330756313171,0.754980000792048,0.73290971584584,0.754649970999754,0.826264940558208,0.755569620253165,0.755368540943281,0.75540477193094,0.782142574570773,0.779271555544511,0.755708794039551,0.732274554489919,0.75586925162088,0.756486851513466,0.722066806672742,0.732648526399861,0.755881604883322,0.758432819794956,0.756117572088577,0.756198049584397,0.75588444796201,0.754566573319756,0.751002456613044,0.732119800701821,0.746518591277071,0.733629970998371,0.753978843038216,0.782467764616155,0.742533087274369,0.754434415736037,0.752350274397518,0.738700821974162,0.736653253912933,0.754632979019422,0.749432200371938,0.759179308748773,0.750374362382787,0.753975760684857,0.759097808896342,0.75903318571802,0.753448303165629,0.755531647271951,0.770610943405388,0.77996876842424,0.758757435558493,0.753406847783864,0.766937990934764,0.744657338209572,0.740985243537113,0.752378314206569,0.751518747033697,0.723924093796341,0.759365639326548,0.75656150267541,0.754059235805602,0.753426285352135,0.744089783061204,0.750756267916818,0.746778059953006,0.757462359070925,0.796381810837142,0.742857142857143,0.77688015995872,0.75448838769447,0.722094420874161,0.759548221723806,0.749574863717996,0.72726911271212,0.723779871158854,0.759808865197138,0.760155304797526,0.748528483919145,0.800194715762478,0.760962226640159,0.750206440957886,0.749970322182388,0.746499485800174,0.781004771794099,0.758263200894734,0.755233009554897,0.804266169054188,0.747883401117248,0.742847198601476,0.748102958514334,0.754965611883763,0.746504491965077,0.725858747611837,0.750765554403817,0.786876935628233,0.751105020516151,0.757776513846721,0.738892599306682,0.750301319462065,0.757634267355643,0.749835558901613,0.762728782700355,0.787145862663524,0.753597008303226,0.76641538120427,0.758562667963859,0.794546358359257,0.73747945336012,0.739588870464841,0.752281482069814
"3",0.771414445879782,0.772892956625547,1,0.757257110181001,0.791875662873502,0.813754265397189,0.7540327732703,0.763398454238149,0.794235318399035,0.769315717774894,0.7913891665001,0.786215110969945,0.784640909415659,0.773206441003805,0.755794076724309,0.780606454992025,0.788838000731517,0.733060738388249,0.792997221119492,0.80743049812329,0.774762260077156,0.824247731252985,0.791099838598109,0.79021129625346,0.789506767132661,0.786418253003915,0.777720273261462,0.784267260294739,0.788464448107536,0.777852936495305,0.796385445821671,0.797197182874676,0.762712543791436,0.78613093959144,0.774725580434143,0.788669708000191,0.739052791232448,0.78024045667634,0.774540777362434,0.782030214262466,0.792996714233559,0.784848678126096,0.789626618607938,0.825771053287888,0.815655521267458,0.758367145999254,0.772836089173089,0.785246777266676,0.740067752401552,0.72831003126339,0.794517598079484,0.791254309794407,0.789484201523496,0.793426777772426,0.780815934305932,0.812075393372345,0.788274211375907,0.748223511644543,0.778195518603597,0.728668016775366,0.785620362917686,0.808184122833591,0.774597850966429,0.781418160076273,0.786164074159796,0.732769707073113,0.747367166077177,0.790889509373753,0.77216275450243,0.790247925942535,0.77835366343635,0.801653756746539,0.796856308914302,0.786360456612293,0.791889465362583,0.78759446243729,0.803013075611143,0.800952982467361,0.781407316254615,0.78793254315488,0.767025971551943,0.761063288311647,0.754542779664252,0.78589070578238,0.785350869534158,0.747584944696427,0.792012820308389,0.792589760135108,0.783647858990325,0.774676661605603,0.771188728993932,0.780253486431722,0.783274851944175,0.786166090187036,0.786985963852549,0.771079167560609,0.81014409501695,0.788241611168546,0.745758650436116,0.793628975861487,0.780661674999402,0.747999138213069,0.744318726627673,0.801823219951006,0.791657409464563,0.73687669300678,0.787204638417855,0.794193924208208,0.776911983810184,0.76624789555605,0.776205180310692,0.812392125671108,0.780392874767188,0.800246452279684,0.806778375062553,0.77583783912536,0.776816471671456,0.787729856766284,0.796366389099167,0.771424036821013,0.747498210166256,0.784415543169295,0.813842216534995,0.772679220087593,0.785470827505265,0.741173936284796,0.773176107384686,0.751687338214042,0.781959730262739,0.799751592611883,0.791684192982595,0.782196322237504,0.794407672565176,0.789670790455004,0.787040091398412,0.733099601593626,0.735912745800494,0.782341877072176
"4",0.73095955590801,0.730410624960426,0.757257110181001,1,0.75987152543717,0.758201162836689,0.723526421957147,0.75612393067963,0.767210345154262,0.745861756619185,0.787038141354388,0.77249287288062,0.769281174752299,0.765348607544934,0.843558500502099,0.767767649264039,0.75429384785703,0.74925776191529,0.779673731088721,0.770012495452604,0.767628205128205,0.747454755609038,0.763171420212387,0.773819439486606,0.767723046488625,0.771784887807729,0.776336627391359,0.772957746478873,0.759097496654022,0.779492536840939,0.772999109301438,0.75691721477359,0.754594086085799,0.759107277116062,0.76147978340777,0.771712668753359,0.745475480020758,0.764561297791028,0.735660209930529,0.758236552687883,0.772645470905819,0.778230602115412,0.753037875737262,0.789368842160947,0.769691360954234,0.9468542954838,0.780901231540731,0.761628782773466,0.840675070781203,0.74118529040404,0.790580359621501,0.759806333836019,0.760391411832974,0.770461440204375,0.771757588203237,0.76537230959772,0.768716736127037,0.843910073989755,0.775499395271258,0.743474261790732,0.771241985464863,0.749008974724891,0.762492293586683,0.772505222561465,0.761792508988737,0.73408387545001,0.720660190184098,0.777299990479515,0.761628733435471,0.755307796448196,0.812090458686271,0.773526800355152,0.768931222638157,0.769831607241679,0.754944490537711,0.758332675455909,0.805586962139811,0.757296760087458,0.780801017164654,0.767420334799532,0.743554524068899,0.723185312715704,0.7226022792879,0.772610594656073,0.768307796749315,0.854333512709316,0.795321915635902,0.761754989185806,0.770772137628809,0.769082385308046,0.77115551694179,0.765937774124973,0.770345807674088,0.766430448284099,0.755936195775895,0.764756086959958,0.778708374566548,0.789556318889323,0.84633410119946,0.767779634055683,0.774779347041704,0.858588263301988,0.842564485624831,0.776268181055759,0.777576111488139,0.738196569752614,0.754334552405627,0.78829625985033,0.777362228120914,0.75524806899493,0.761468686597564,0.745030414731963,0.779865750562011,0.765565825156745,0.773983048126625,0.769343745805137,0.759275339437954,0.770076278012034,0.772303552551494,0.754484685381465,0.843082497389323,0.785502210991788,0.745518211711142,0.775040908120756,0.756627122437886,0.734339419041045,0.770789646522596,0.752219028365658,0.76025338879838,0.771661261146395,0.760945577962824,0.760470283134483,0.765632778853372,0.778425911188922,0.747761731407769,0.739203131686134,0.741686724094249,0.770262986858583
"5",0.754056851660164,0.753659583260486,0.791875662873502,0.75987152543717,1,0.794344942615464,0.726516649655524,0.776112070741486,0.812758604289859,0.783630202590127,0.80498806472988,0.801576289060332,0.79990487891879,0.783040494982747,0.759628132963901,0.796259756725702,0.775093290988487,0.740030443813722,0.791927632517799,0.80549644263753,0.787289358126853,0.788885885981368,0.802019736894337,0.802792446217932,0.804409486354427,0.796166625694869,0.781543672184325,0.794191929251484,0.824110813368214,0.789191379803566,0.810618522126579,0.805208515231851,0.771179046292516,0.815360165282689,0.789515456962578,0.795771629922385,0.744670976566953,0.791070916791389,0.757904622769488,0.800627819042259,0.799876369054223,0.794709104225711,0.792462403183739,0.824875076780052,0.805767336954795,0.760709783306772,0.778957567286387,0.809012824288933,0.748118091729132,0.737508913715237,0.806493744375513,0.823206885559452,0.832685508137057,0.815150300601202,0.798788272892364,0.802051862539559,0.802534520132443,0.752781878502151,0.790948703499401,0.737671767272264,0.795913008188307,0.784512266959609,0.78168052822043,0.792650262202501,0.818243399399112,0.738613123642532,0.720894610274685,0.799560278490289,0.783913222747312,0.825219894450664,0.785998555724946,0.809247672821608,0.806972558887703,0.80881092236863,0.823332936649609,0.825023779327838,0.812543587913781,0.797796671057358,0.790521024495332,0.796670214625002,0.78101420328451,0.727254622364197,0.723241723773753,0.800366372986733,0.79676787851408,0.751696410126019,0.80066873656556,0.829389164207361,0.796336447406179,0.788674482660084,0.779651070578906,0.796673781431258,0.791193024177566,0.811336744483531,0.788836685131982,0.778165689393879,0.833943271693205,0.800252874850956,0.749832509172117,0.816969122970359,0.785497599388501,0.753125373491096,0.750582453004819,0.812196745502811,0.804329223845593,0.740633152478353,0.791956475188161,0.80531629230046,0.788957396873384,0.771838424207822,0.793533659371755,0.782422225575614,0.791125558328432,0.797219950940311,0.809079772401232,0.787557578111993,0.786129824839502,0.80127961183522,0.816931761527204,0.783350105785307,0.753125645384212,0.795409498136843,0.779209853811844,0.778709928329352,0.821723844536129,0.749926308325964,0.783025988574879,0.763427474984539,0.80154205310634,0.816065098936621,0.79988905178904,0.797939142791366,0.819169278375055,0.793807431082701,0.774870455914842,0.742345883326438,0.743652320460435,0.792711848220539
"6",0.758446509411484,0.746825308749623,0.813754265397189,0.758201162836689,0.794344942615464,1,0.757039004835836,0.765415803866399,0.797759294106485,0.766764878252422,0.801447694280095,0.791694018459494,0.790496145483297,0.777544803576374,0.760213495513902,0.788855076473145,0.7912013938386,0.736204469609502,0.793513846932481,0.810923837282981,0.778316282158726,0.795740699628937,0.792131583740507,0.796374123124101,0.789388596108888,0.785134034155177,0.781471553870799,0.791059721063297,0.795480683052958,0.786753749088488,0.797784220335473,0.792883948506009,0.763563632298811,0.79351642690128,0.77668527094961,0.796827256463436,0.736312105117835,0.777292507067306,0.762912433246063,0.784630468644986,0.788762233008174,0.789902487056507,0.796799013134484,0.823989602132556,0.83277353528312,0.75865014275207,0.777925647789475,0.790719463875942,0.749603979216829,0.728451750572987,0.800416246316141,0.794491255961844,0.787661908590808,0.799288398496842,0.784600659700524,0.820636573982046,0.791859719153183,0.753392339724813,0.779864305336743,0.72949192382828,0.793018327287736,0.799431484334059,0.773375657019821,0.785483222016577,0.791694819596029,0.730063095972295,0.751011328462068,0.79297439890667,0.773031415103293,0.796323177540278,0.785290116046419,0.803608193740136,0.797709256699868,0.790253365003959,0.795338899220512,0.790235610373182,0.803306533801382,0.793120197475813,0.785841623557501,0.790474907696452,0.764594269812156,0.75943774781289,0.753186062905436,0.794005742716795,0.789716264398258,0.749821674829997,0.797006273326451,0.793435052724286,0.791996628820405,0.779392087156871,0.777527289985762,0.788340232213947,0.785332489918558,0.79055023923445,0.781882807428635,0.775775419268546,0.809142405904773,0.794561113638722,0.751050119331742,0.798568580829551,0.78423196969336,0.753324061196106,0.749936332091809,0.803982113287843,0.795213858944773,0.735548602353091,0.784825447555158,0.797060903982642,0.785073205570765,0.763667858385801,0.775950538025474,0.7927813735354,0.780873935723232,0.797670422602127,0.797102847312658,0.779475378203759,0.775729306664558,0.791509821908708,0.807921205024142,0.7690623542709,0.752246185050787,0.7886279161724,0.788112917781542,0.772406640646648,0.787249203375446,0.741844997337953,0.773273737349722,0.753373088056184,0.78602997085287,0.801618528479876,0.786553891150547,0.783659442381243,0.796850144434332,0.797345979118514,0.785744621178733,0.734317958160058,0.736769906592448,0.784712961198959
"7",0.739532584341336,0.740277103543774,0.7540327732703,0.723526421957147,0.726516649655524,0.757039004835836,1,0.725047409723159,0.728395551710179,0.727793719370647,0.739211077533138,0.729899477537279,0.725317118862024,0.722181621759024,0.726900510406895,0.723801361710232,0.788118276577644,0.7094087664838,0.753511118873901,0.747739724393483,0.724800571496607,0.743486670858971,0.726649705835586,0.734303215926493,0.729377506205843,0.727506630878452,0.736363563984363,0.736879477891781,0.72339629252134,0.735181073790255,0.729043556138401,0.728954208363472,0.726468183348564,0.724122290479677,0.722233702649859,0.738836039386787,0.716073743690935,0.721393550444453,0.751458979759168,0.721728293139854,0.72641561842784,0.731526288515964,0.733669937442444,0.770734099769737,0.741782581378888,0.723040033030029,0.738818196278034,0.725542871719652,0.718318370852186,0.706759340807566,0.73641438711221,0.724100779709983,0.727536486724108,0.729548136434059,0.724841968171278,0.764500678534366,0.725120066155657,0.726372429798835,0.723930183760412,0.709030606956924,0.743437724121444,0.751189764438599,0.718829223323346,0.727606182285313,0.722219562025155,0.711629900696159,0.901972627998283,0.730370063099787,0.725557611224482,0.727032502422267,0.73429326733787,0.740979650928979,0.736405610800552,0.72758201314754,0.720707407760511,0.719612963653826,0.747687535021967,0.729822205167562,0.740221968310788,0.72547070006443,0.726321721392798,0.879756529508432,0.883679506345622,0.726938470823671,0.721597853866057,0.715556545748228,0.742571731522008,0.725281990823349,0.730488924366394,0.723474611300118,0.723870937001183,0.724636875059594,0.727227262984925,0.725675123896143,0.733272402145837,0.719667233460994,0.738111418539553,0.736460820925424,0.719487552215203,0.731436976546048,0.733239778018754,0.715267139027193,0.720434661020335,0.741647391416088,0.72949577498314,0.716159794847137,0.729438020204587,0.74273882097603,0.731855192084004,0.726238972135535,0.727147891795784,0.749228517799765,0.727494130287715,0.751931760366319,0.74140644546856,0.723601892724443,0.716539807767098,0.726854829105633,0.732318148509031,0.719683864722033,0.721032159532919,0.732693941390836,0.747474667196503,0.720401220830419,0.720348860576343,0.719935219312942,0.725983800900657,0.718551748779229,0.725021668429297,0.732023525264018,0.731334518443273,0.724366006836792,0.728606842632173,0.741856240948045,0.761645400569599,0.710024142079725,0.710301949576889,0.72799432574375
"8",0.746971341642171,0.75073346249654,0.763398454238149,0.75612393067963,0.776112070741486,0.765415803866399,0.725047409723159,1,0.776784798744272,0.781198443081162,0.782562758182396,0.772802587975383,0.772764561115669,0.774244983660389,0.751003318059725,0.775635566490033,0.756310687282237,0.762439351504872,0.773926077866751,0.772189606264371,0.787723906201936,0.767087205853273,0.771239867907535,0.773106979250876,0.780276077984915,0.77791894195259,0.776540953646785,0.772570875880003,0.771098732414426,0.771944806863559,0.775527392634381,0.769001713965263,0.815411329892309,0.774160643967549,0.775770834649649,0.769330395571245,0.768646862012816,0.775217256977177,0.74879392971246,0.772717950336036,0.775454839396544,0.786989139131606,0.763888231488932,0.795548949172138,0.775709871421007,0.755909549958972,0.777315905103605,0.776366027154196,0.740646507107469,0.764828787914626,0.78037531302501,0.772761516562121,0.77527161827308,0.774110440213446,0.773275358659112,0.766102420915696,0.772814904947773,0.746530821782569,0.777883962279053,0.770009585904759,0.771482642848093,0.763155184841932,0.771963768173167,0.783890311549237,0.77109800003172,0.771745217905738,0.720052124466909,0.775514248345289,0.789248601434467,0.775948631853661,0.775187423653304,0.777891439166294,0.775117076997441,0.774322477705547,0.774019863262438,0.772962825659996,0.800500262234236,0.771618766185279,0.77876316980413,0.772714697861914,0.778971361868932,0.726052698332171,0.722553218388988,0.773401619292625,0.774047258502114,0.744882387823681,0.778818198382331,0.776164769579052,0.782824236751723,0.779742816069256,0.780707222954364,0.769545992893802,0.766792089673506,0.774997812268797,0.758053434210215,0.775258187790165,0.787667599112569,0.782400624283348,0.74660518567313,0.773903459732294,0.773709731091638,0.747125889983033,0.741141536922503,0.779355199106217,0.775760251669518,0.759521591298185,0.767690000789204,0.781663785858137,0.777637037271604,0.816884848771789,0.786128945749397,0.764996443531178,0.777544031698077,0.773441820048977,0.781281325431639,0.784566956466857,0.768698093713276,0.773299251299772,0.780635146704646,0.771337328497082,0.74497095206102,0.782778834092039,0.75739004762168,0.782559590566604,0.77256136035079,0.77042903348554,0.777544985927074,0.789361148150194,0.772576783583682,0.776910828025478,0.765334447896787,0.773138054159952,0.77162550530571,0.775226403542947,0.761055509368805,0.769518229682119,0.769299529328007,0.784529249190272
"9",0.757099942138345,0.756753977232274,0.794235318399035,0.767210345154262,0.812758604289859,0.797759294106485,0.728395551710179,0.776784798744272,1,0.774175973849087,0.813425837624769,0.806672875951126,0.807224922669023,0.792992624646631,0.763332595707015,0.80708853969456,0.776807378895537,0.739517153748412,0.803199507525235,0.814898544767566,0.786601964729554,0.792201112544213,0.81650991859638,0.801087801087801,0.805090241857669,0.801809340364394,0.788114063204882,0.804216103039147,0.812014184621717,0.797028880609412,0.823714101759044,0.802842942817184,0.772940970230127,0.80832634593175,0.79220656090007,0.804462035566721,0.74195848967915,0.792962713476245,0.762592687292253,0.799398693223067,0.802603447595756,0.797971232713872,0.799082974256988,0.834593174552034,0.807406177612283,0.76839837090358,0.785508735868448,0.79909504413839,0.751669841671344,0.731328332662896,0.81518154431584,0.803733350257431,0.808030890484968,0.822307158302945,0.802485119282568,0.800396762418664,0.807586512164662,0.758602163281108,0.789825071504195,0.734123744838682,0.80537072243346,0.783065890090733,0.789352272457952,0.796704223316175,0.806931949799292,0.737624973367948,0.726345479252915,0.806101168055699,0.784574824965072,0.808585323919671,0.794621534627765,0.818955868244324,0.821737441637403,0.800376126998175,0.806931084048082,0.805930578460227,0.821781139264007,0.799011427390772,0.792657839765534,0.808622012066389,0.771660315130857,0.732181374103914,0.728052424390938,0.808169000742062,0.803509436344127,0.758667056878673,0.809142277485874,0.81138843577277,0.801467962705812,0.785356448630624,0.783773969196277,0.805721868532883,0.800525555739684,0.805591589536263,0.796184080584634,0.778972228365612,0.822485445012705,0.806358335457558,0.757330115201702,0.82185772266786,0.791393877906885,0.759617062453402,0.755402883126167,0.816017627053695,0.804858618921797,0.739068785597642,0.802924318264357,0.807295715214874,0.798698007412805,0.773857168794058,0.78820995155207,0.785985357600291,0.789469520155069,0.812757819538177,0.821662080528836,0.787934273041529,0.791578233117411,0.807316206937374,0.826272102200415,0.78146593885085,0.757565214640973,0.79956275699865,0.777570610310093,0.787146627056239,0.801717869841397,0.745701687603096,0.785686038786422,0.759856347922175,0.8041087985835,0.829170383586084,0.805621735906215,0.795542911332385,0.822096549981044,0.80670203542709,0.785258460751072,0.740774768923703,0.743809697151946,0.797661393182232
"10",0.76003251613734,0.768680215278336,0.769315717774894,0.745861756619185,0.783630202590127,0.766764878252422,0.727793719370647,0.781198443081162,0.774175973849087,1,0.776491950127103,0.777615708274895,0.77022858562146,0.771842753024751,0.748401075311961,0.767506868186879,0.761038794279569,0.766006891577851,0.772874429040789,0.770474829844613,0.775825602076624,0.769130644383738,0.768314702318378,0.773164585497025,0.779804209731692,0.768762173470451,0.773188999791054,0.766660492385501,0.776027391755146,0.769542168674699,0.775373315037533,0.772628808908715,0.775188341061184,0.780684492494036,0.778750270755951,0.767924467760825,0.770049557930092,0.773755109923713,0.760027589564653,0.780829600903795,0.776622502763582,0.774447162584092,0.772005737317404,0.790522958112986,0.776771666185017,0.746712187146876,0.76980565612131,0.780112168784248,0.736475857197894,0.767334582672625,0.773294800479782,0.783688857382226,0.78089828717113,0.774654392817205,0.774064781936084,0.769111141551776,0.767779320529387,0.743289209787405,0.776484368105641,0.767290080636075,0.767002083283061,0.765380839730282,0.772805300648142,0.775802163026279,0.773161909825435,0.775827257431296,0.724214832938911,0.773564699251147,0.774027826756003,0.78086908726438,0.766721282221826,0.772691473900441,0.77033662282467,0.782574857986457,0.777211088924708,0.781141840789642,0.792826104779864,0.772395316370914,0.772377526494927,0.769739060618226,1,0.731654682052067,0.727255215147405,0.772189135679761,0.769569083611719,0.739763874387599,0.774870036856421,0.783611671718837,0.778555774003287,0.786315460096119,0.769582224502228,0.764125596503188,0.766661859205487,0.782141009892028,0.768687127982159,0.771026650733437,0.794534421221996,0.777752610844611,0.737479441452482,0.777203501910797,0.765937754026189,0.741722441024154,0.736514824015227,0.778337184320402,0.780151840343403,0.768892879677717,0.768984728846848,0.777233663828862,0.767070630714671,0.778654098938796,0.780791078138395,0.767872195239433,0.775623001654911,0.76486258776329,0.781087555200678,0.772792473695598,0.774598240751126,0.765842869506683,0.776285626026306,0.77889551880181,0.739526294660779,0.771552898562339,0.764339232139133,0.76997809850059,0.77837193073565,0.773262790004751,0.767256402637349,0.789738575710462,0.778501027353281,0.781760828244429,0.768217172243093,0.778901165916404,0.775966188417769,0.77054423856679,0.766565690199868,0.768184011581148,0.767673764564082,0.776602419718129
